Stadtteilnummer;Stadtteilname;2012;2013;2014;2015;2016;2017;2018;2019
011;Altstadt;2232;2253;2221;2264;2244;2358;2404;2453
012;Carlstadt;2290;2323;2315;2491;2588;2279;2285;2281
013;Stadtmitte;13900;13953;14388;14680;15008;14840;14954;14958
014;Pempelfort;29931;30345;30814;31449;31897;32626;33064;33282
015;Derendorf;19740;19927;20005;20232;20401;20651;20610;20760
016;Golzheim;11956;12086;12279;12913;12702;12520;12597;12861
021;Flingern Süd;10025;10130;10227;10291;10348;10319;10344;10413
022;Flingern Nord;22125;22261;22874;23349;23851;24617;25111;25464
023;Düsseltal;26848;26983;27434;27861;28141;28149;28177;28077
031;Friedrichstadt;18656;18927;19471;19630;19984;19616;19883;19712
032/033;Unterbilk/Hafen;18616;18846;18846;19033;19182;19408;19479;19484
034;Hamm;4023;4066;4188;4305;4399;4444;4507;4496
035;Volmerswerth;2266;2273;2306;2353;2350;2345;2391;2355
036;Bilk;38523;39165;39708;39899;40038;40552;40651;41128
037;Oberbilk;29715;30049;30288;30556;30446;30391;30362;30961
038;Flehe;2571;2578;2535;2547;2687;2725;2726;2730
041;Oberkassel;17945;17975;18238;18495;18840;18949;18928;19017
042;Heerdt;9876;9968;10102;10315;11028;11398;11685;12352
043;Lörick;7508;7320;7338;7508;7608;7625;7585;7614
044;Niederkassel;5920;5884;5904;5900;5970;6047;6084;6105
051;Stockum;5265;5317;5409;5671;5607;5589;5592;5596
052;Lohausen;3979;4005;4046;4193;4188;4129;4132;4121
053;Kaiserswerth;7871;7848;7905;8018;8112;8038;8066;8017
054;Wittlaer;7786;7832;7885;7983;8009;8106;8175;8261
055;Angermund;6273;6258;6240;6494;6580;6621;6626;6745
056;Kalkum;1987;1919;1926;1959;1983;1973;1993;1955
061;Lichtenbroich;5720;5587;5500;5539;6031;6204;6127;6218
062;Unterrath;21174;21234;21280;21625;21746;21711;22012;21995
063;Rath;19503;19577;19923;20206;20231;20205;20330;20412
064;Mörsenbroich;14540;14803;15423;16351;17407;18002;18126;18123
071;Gerresheim;28889;28969;29233;29544;29585;29761;29589;29874
072;Grafenberg;5686;5723;5749;5749;5832;5898;5825;5844
073;Ludenberg;7269;7526;7705;7962;8079;8240;8234;8081
074;Hubbelrath*;3716;3646;1571;1535;1722;1645;1612;1605
075;Knittkuhl*;X;X;2055;2048;2078;2091;2097;2062
081;Lierenfeld;10315;10468;10525;10545;10562;10809;11034;11249
082;Eller;30934;31147;31307;31407;31516;31732;31701;31547
083;Vennhausen;10320;10533;10509;10436;10514;10535;10598;10722
084;Unterbach;7295;7346;7465;7552;7641;7636;7736;7829
091;Wersten;26665;26844;26924;27116;27232;27366;27311;27325
092;Himmelgeist;1835;1965;2019;2032;2034;2058;2065;2063
093;Holthausen;12326;12510;12557;12540;13041;12899;12844;12890
094;Reisholz;3704;3711;3738;3836;3737;3777;3721;3773
095;Benrath;16099;16054;16118;16644;16735;16833;16751;16583
096;Urdenbach;10625;10561;10609;10657;10682;10685;10633;10656
097;Itter;2091;2174;2304;2345;2357;2376;2395;2400
098;Hassels;17746;18036;17536;17398;17668;17517;18161;18586
101;Garath;18364;18470;18729;19068;19042;19143;19109;19046
102;Hellerhof;6138;6071;5980;5913;6041;5969;5882;5842
