Stadtteilnummer;Stadtteil;Flaeche in Quadratkilometern
011;Altstadt;0,45
012;Carlstadt;0,45
013;Stadtmitte;1,77
014;Pempelfort;2,71
015;Derendorf;3,38
016;Golzheim;2,54
021;Flingern Süd;1,51
022;Flingern Nord;2,79
023;Düsseltal;2,93
031;Friedrichstadt;1
032;Unterbilk;1,59
033;Hafen;3,86
034;Hamm;4,07
035;Volmerswerth;2,21
036;Bilk;6,13
037;Oberbilk;3,92
038;Flehe;2
041;Oberkassel;3,69
042;Heerdt;4,05
043;Lörick;2,56
044;Niederkassel;2,38
051;Stockum;6,62
052;Lohausen;11,65
053;Kaiserswerth;4,86
054;Wittlaer;6,92
055;Angermund;13,33
056;Kalkum;7,58
061;Lichtenbroich;2,12
062;Unterrath;4,44
063;Rath;10,47
064;Mörsenbroich;2,64
071;Gerresheim;6,76
072;Grafenberg;0,91
073;Ludenberg;6,26
074;Hubbelrath;12,96
075;Knittkuhl;0,85
081;Lierenfeld;2,46
082;Eller;5,75
083;Vennhausen;3,56
084;Unterbach;9,24
091;Wersten;4,44
092;Himmelgeist;4,45
093;Holthausen;5,37
094;Reisholz;1,84
095;Benrath;6,01
096;Urdenbach;7,58
097;Itter;2,59
098;Hassels;4,37
101;Garath;3,37
102;Hellerhof;1,94
